DENVER,EL PASO,4
KANSAS CITY,HOUSTON,5
NEW YORK,ATLANTA,6
CHICAGO,NEW ORLEANS,7
CALGARY,SALT LAKE CITY,7
HELENA,LOS ANGELES,8
DULUTH,HOUSTON,8
SAULT ST MARIE,NASHVILLE,8
MONTREAL,ATLANTA,9
SAULT ST MARIE,OKLAHOMA CITY,9
SEATTLE,LOS ANGELES,9
CHICAGO,SANTA FE,9
DULUTH,EL PASO,10
TORONTO,MIAMI,10
PORTLAND,PHOENIX,11
DALLAS,NEW YORK,11
DENVER,PITTSBURGH,11
WINNIPEG,LITTLE ROCK,11
WINNIPEG,HOUSTON,12
BOSTON,MIAMI,12
VANCOUVER,SANTA FE,13
CALGARY,PHOENIX,13
MONTREAL,NEW ORLEANS,13
LOS ANGELES,CHICAGO,16
SAN FRANCISCO,ATLANTA,17
PORTLAND,NASHVILLE,17
VANCOUVER,MONTREAL,20
LOS ANGELES,MIAMI,20
LOS ANGELES,NEW YORK,21
SEATTLE,NEW YORK,22
